District,Station,Station_Abbr,Crop_Year,Start_Year,End_Year,Start_Date,End_Date,Total_Days,Available_Days,Completeness_Pct,RAINFALL_MM_Total,RAINFALL_MM_Count,EVAPORATION_MM_Total,EVAPORATION_MM_Count,EVAPOTRANSPIRATION_MM_Total,EVAPOTRANSPIRATION_MM_Count,SUNSHINE_HOURS_Mean,SUNSHINE_HOURS_Count,MAX_TEMP_C_Mean,MAX_TEMP_C_Count,MIN_TEMP_C_Mean,MIN_TEMP_C_Count,MEAN_TEMP_C_Mean,MEAN_TEMP_C_Count,RH_0700_PERCENT_Mean,RH_0700_PERCENT_Count,RH_1400_PERCENT_Mean,RH_1400_PERCENT_Count,Core_Weather_Completeness_Pct,Heat_Days_Tmax_ge_35C,Heat_Days_Tmax_ge_38C,Dry_Days_Rain_lt_1mm,Heavy_Rain_Days_Rain_ge_50mm,Drought_Index,Moisture_Adequacy_Index,Water_Balance_mm
Ahmednagar,Rahuri,RHI,2010-2011,2010,2011,2010-10-01,2011-09-30,365,365,100.0,163.0,75,311.00000000000006,75,295.90000000000003,75,16.977333333333334,75,27.446666666666665,75,20.455999999999996,75,23.311999999999998,75,70.58933333333333,75,49.396,75,20.54794520547945,0,0,62,0,-0.47588424437299043,0.5508617776275768,-443.9000000000001
Ahmednagar,Rahuri,RHI,2011-2012,2011,2012,2011-10-01,2012-09-30,366,356,97.26775956284153,0.0,23,56.1,23,214.60000000000002,23,56.56521739130435,23,16.569565217391304,23,24.27391304347826,23,11.960869565217392,23,28.304347826086957,23,32.61304347826087,23,6.284153005464481,0,0,23,0,-1.0,0.0,-270.70000000000005
Ahmednagar,Rahuri,RHI,2012-2013,2012,2013,2012-10-01,2013-09-30,365,332,90.95890410958904,0.0,26,66.7,26,229.4,26,57.11538461538461,26,16.246153846153845,26,24.76538461538462,26,11.096153846153843,26,28.23076923076923,26,33.2,26,7.123287671232877,0,0,26,0,-1.0,0.0,-296.1
Ahmednagar,Rahuri,RHI,2013-2014,2013,2014,2013-10-01,2014-09-30,365,362,99.17808219178083,0.0,20,149.5,20,556.5,20,47.25,20,20.654999999999998,20,19.490000000000002,20,14.334999999999999,20,29.02,20,26.975,20,5.47945205479452,0,0,20,0,-1.0,0.0,-706.0
Ahmednagar,Rahuri,RHI,2014-2015,2014,2015,2014-10-01,2015-09-30,365,365,100.0,289.40000000000003,272,1734.3000000000002,272,781.9,272,8.158088235294118,272,33.11029411764706,272,19.520220588235297,272,26.233455882352942,272,61.025735294117645,272,37.92058823529412,272,74.52054794520548,86,43,238,0,-0.8331315228045897,0.37012405678475513,-2226.8
Ahmednagar,Rahuri,RHI,2015-2016,2015,2016,2015-10-01,2016-09-30,366,366,100.0,659.3000000000001,366,2419.1000000000004,366,2155.3,366,7.161748633879781,366,33.391530054644804,366,19.226229508196724,366,26.33907103825136,366,59.08469945355191,366,39.221311475409834,366,100.0,121,64,317,1,-0.7274606258525897,0.30589709089221917,-3915.1000000000004
Ahmednagar,Rahuri,RHI,2016-2017,2016,2017,2016-10-01,2017-09-30,365,365,100.0,103.60000000000001,108,523.7,108,527.0,108,16.016666666666666,108,28.26296296296296,108,15.575000000000001,108,20.024074074074072,108,57.148148148148145,108,37.288888888888884,108,29.589041095890412,0,0,106,1,-0.8021768187893832,0.196584440227704,-947.1
Ahmednagar,Rahuri,RHI,2017-2018,2017,2018,2017-10-01,2018-09-30,365,365,100.0,1.0,29,188.2,29,168.39999999999998,29,58.827586206896555,29,17.613793103448273,29,25.33103448275862,29,13.327586206896552,29,32.41379310344828,29,32.99310344827587,29,7.9452054794520555,0,0,28,0,-0.9946865037194474,0.005938242280285036,-355.59999999999997
Ahmednagar,Rahuri,RHI,2018-2019,2018,2019,2018-10-01,2019-09-30,365,365,100.0,0.0,31,227.0,31,421.0,31,46.903225806451616,31,17.438709677419357,31,24.567741935483873,31,12.058064516129031,31,24.503225806451614,31,32.119354838709675,31,8.493150684931507,0,0,31,0,-1.0,0.0,-648.0
Ahmednagar,Rahuri,RHI,2019-2020,2019,2020,2019-10-01,2020-09-30,366,366,100.0,1.4,12,60.099999999999994,12,84.6,12,79.41666666666667,12,15.741666666666665,12,22.78333333333333,12,10.108333333333333,12,42.75,12,29.758333333333336,12,3.278688524590164,0,0,11,0,-0.9767054908485857,0.016548463356973995,-143.29999999999998
Ahmednagar,Rahuri,RHI,2020-2021,2020,2021,2020-10-01,2021-09-30,365,365,100.0,0.0,19,75.4,19,164.20000000000002,19,83.57894736842105,19,15.826315789473684,19,18.27368421052632,19,10.442105263157893,19,31.63157894736842,19,29.673684210526314,19,5.205479452054795,0,0,19,0,-1.0,0.0,-239.60000000000002
Nashik,Niphad,NPD,1995-1996,1995,1996,1995-10-01,1996-09-30,366,208,56.830601092896174,0.0,208,1781.7,208,0.0,0,9.88701923076923,208,33.61682692307692,208,12.07451923076923,208,22.842788461538458,208,77.875,208,37.43269230769231,208,56.830601092896174,87,38,208,0,-1.0,,-1781.7
Nashik,Niphad,NPD,1996-1997,1996,1997,1996-10-01,1997-09-30,365,0,0.0,0.0,0,0.0,0,0.0,0,,0,,0,,0,,0,,0,,0,0.0,0,0,0,0,,,0.0
